timestamp,rule_id,rule_description,rule_level,agent_name,agent_id,agent_ip,src_ip,dst_ip
2025-11-21T21:25:37.986Z,100015,AD paroļu pārlase pret Kerberos (>=6 neveiksmīgi AS_REQ ar KDC_ERR_PREAUTH_FAILED 60s laikā uz vienu IP) tīklā,10,sensor,001,10.99.10.21,10.99.10.10,10.99.20.30
2025-11-21T21:25:29.837Z,100010,AD paroļu pārlases uzbrukums caur RDP no vienas IP adreses (>=6 nepareizi mēģinājumi 60 sekundēs),10,DESKTOP-9S8A4EK,005,10.99.20.11,10.99.20.30,10.99.20.11
2025-11-21T21:25:23.918Z,100015,AD paroļu pārlase pret Kerberos (>=6 neveiksmīgi AS_REQ ar KDC_ERR_PREAUTH_FAILED 60s laikā uz vienu IP) tīklā,10,sensor,001,10.99.10.21,10.99.10.10,10.99.20.30
2025-11-21T21:25:25.898Z,100015,AD paroļu pārlase pret Kerberos (>=6 neveiksmīgi AS_REQ ar KDC_ERR_PREAUTH_FAILED 60s laikā uz vienu IP) tīklā,10,sensor,001,10.99.10.21,10.99.10.10,10.99.20.30
2025-11-21T21:25:15.976Z,100015,AD paroļu pārlase pret Kerberos (>=6 neveiksmīgi AS_REQ ar KDC_ERR_PREAUTH_FAILED 60s laikā uz vienu IP) tīklā,10,sensor,001,10.99.10.21,10.99.10.10,10.99.20.30
2025-11-21T21:25:19.535Z,100010,AD paroļu pārlases uzbrukums caur RDP no vienas IP adreses (>=6 nepareizi mēģinājumi 60 sekundēs),10,DESKTOP-9S8A4EK,005,10.99.20.11,10.99.20.30,10.99.20.11
2025-11-21T21:25:23.634Z,100010,AD paroļu pārlases uzbrukums caur RDP no vienas IP adreses (>=6 nepareizi mēģinājumi 60 sekundēs),10,DESKTOP-9S8A4EK,005,10.99.20.11,10.99.20.30,10.99.20.11
2025-11-21T21:25:25.754Z,100010,AD paroļu pārlases uzbrukums caur RDP no vienas IP adreses (>=6 nepareizi mēģinājumi 60 sekundēs),10,DESKTOP-9S8A4EK,005,10.99.20.11,10.99.20.30,10.99.20.11
2025-11-21T21:25:25.956Z,100015,AD paroļu pārlase pret Kerberos (>=6 neveiksmīgi AS_REQ ar KDC_ERR_PREAUTH_FAILED 60s laikā uz vienu IP) tīklā,10,sensor,001,10.99.10.21,10.99.10.10,10.99.20.30
2025-11-21T21:25:36.039Z,100010,AD paroļu pārlases uzbrukums caur RDP no vienas IP adreses (>=6 nepareizi mēģinājumi 60 sekundēs),10,DESKTOP-9S8A4EK,005,10.99.20.11,10.99.20.30,10.99.20.11
